title,current_price,original_price,discount,seller_rating,seller,brand
Lenovo ThinkPad T495 AMD Ryzen 5 (10th Gen) 16GB Ram 512GB SSD with 5GB graphic Laptop (REFURBISHED),"Rs. 79,500",,,No Ratings,UB18 Computers Pvt Ltd,Lenovo
Lenovo ThinkPad T495 Ryzen 5 (9th Gen) 16GB Ram 512GB SSD with 5GB graphic Laptop for gaming and video editing (REFURBISHED),"Rs. 79,500",,,Ratings 5,AcePro Trading Pvt Ltd,Lenovo
HP EliteBook 840 G6 i5 8th Gen 14inch Laptop,"Rs. 79,500",,,No Ratings,AcePro Trading Pvt Ltd,HP
DELL LATITUDE 5289 i5 7th GEN,"Rs. 79,900",,,No Ratings,Z-phonez Online Store,Dell
DELL I5 4TH GEN -8GB ± 256GB SSD | E-6440 Laptop,"Rs. 79,999","Rs. 80,000",-0%,No Ratings,CS CENTER 2.0,Dell
HP ProBook 450 G3,"Rs. 80,000",,,No Ratings,Clickslab,HP
Dell Latitude 5490 Business Laptop | 14in HD | Intel Core 8th Gen i5-8250U Quad Core | 16GB DDR4 | 256GB,"Rs. 80,000",,,No Ratings,RIGHT -WAY,Dell
"Lenovo Thinkpad X390 13.3"" FHD (1920 x 1080), Intel Core i5-8350U 1.7GHz, 3.6GHz Max Turbo Frequency, 8GB DDR4 RAM, 256GB SSD,","Rs. 80,000",,,No Ratings,RIGHT -WAY,Lenovo
"Lenovo ThinkPad T480 14"" HD Business Laptop (Intel 8th Gen Quad-Core i5-8250U, 16GB DDR4 RAM, Toshiba 256GB PCIe NVMe 2242 M.2 SSD) Fingerprint,","Rs. 80,000",,,No Ratings,RIGHT -WAY,Lenovo
Dell Latitue E5490 i5 8th Gen 8GB Ram 256GB NVMe Laptop,"Rs. 81,500",,,No Ratings,Computer HUB,Dell
"Lenovo ThinkPad T490, 14.0"" FHD 1920x1080 IPS, Intel Core i5-8365U Processor, 8GB RAM, 256GB SSD,","Rs. 82,000",,,No Ratings,RIGHT -WAY,Lenovo
[REFURBISHED] Apple MacBook Air 13.3-inch   Core  i5,"Rs. 98,500",,,Ratings 2,AcePro Trading Pvt Ltd,Apple
HP ProBook 650 G2,"Rs. 82,750",,,No Ratings,Timestech.lk,HP
Dell Latitude 7400,"Rs. 83,000",,,No Ratings,FUTURE TECHNOLOGIES (PVT) LTD,Dell
Dell Latitude E7490 i5 8th Gen 8GB Ram 256GB NVMe Laptop,"Rs. 83,500",,,No Ratings,Computer HUB,Dell
Dell Latitude 5410 i5 10th Generation 16GB DDR4 512GB NVME SSD 14inch Laptop,"Rs. 83,500",,,Ratings 1,AcePro Trading Pvt Ltd,Dell
Dell Latitude 5410 i5 10th Gen 16GB DDR4 512GB SSD 14inch Laptop,"Rs. 89,500",,,Ratings 1,UB18 Computers Pvt Ltd,Dell
Lenovo ThinkPad T580 Core i5 8th Gen 15inch Laptop Win11 Pro,"Rs. 84,500",,,No Ratings,UB18 Computers Pvt Ltd,Lenovo
HP ProBook 430 G6 | Core i5 8th Gen | 8 GB RAM | 256 GB NVMe SSD,"Rs. 85,000",,,No Ratings,Nawano Tradings (PVT) LTD,HP
Dell Latitute 5580 i5 7th Gen 15Inch Laptop 16GB Ram 512GB SSD,"Rs. 85,000",,,No Ratings,AcePro Trading Pvt Ltd,Dell
Lenovo ThinkPad T14 Gen 1 Ryzen 5 Pro 4650U • 16GB • 512GB NVMe SSD (REFURBISHED),"Rs. 85,000",,,No Ratings,AcePro Trading Pvt Ltd,Lenovo
HP EliteBook 745 G6 | Ryzen 3 Pro | 8 GB RAM | 256 NVMe SSD,"Rs. 85,000",,,No Ratings,Nawano Tradings (PVT) LTD,HP
Dell Lattitude 5400 Touch Screen,"Rs. 85,000",,,No Ratings,Smart Boutiques,Dell
Dell Latitude 5490 Business Laptop | 14in HD | Intel Core 8th Gen i5-8250U Quad Core | 16GB DDR4 | 512GB,"Rs. 85,000",,,No Ratings,RIGHT -WAY,Dell
DELL Latitude 7490 – 14″ HD | Intel® Core™ i5 8th Gen | 8GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win10 Pro A Grade,"Rs. 92,500","Rs. 96,500",-4%,No Ratings,Dealz_LK,Dell
AVITA SATUS S102 INTEL CELERON LAPTOP,"Rs. 93,500",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,Unspecified
Lenovo ThinkPad T590 i7 8th Gen 16GB 512GB SSD 15.6inch Laptop,"Rs. 93,500",,,Ratings 15,AcePro Trading Pvt Ltd,Lenovo
Dell Latitude 5400,"Rs. 94,000",,,No Ratings,ONESTORE SL,Dell
[Refurbished] Dell Latitude 5500 Laptop Core i5 8th Gen 8GB Ram 256GB NVME SSD,"Rs. 94,500","Rs. 105,600",-11%,No Ratings,NEW WINTEC (PVT) LTD,Dell
DELL Latitude 7490 – 14″ HD | Intel® Core™ i5 8th Gen | 8GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win10 Pro High Quality Laptop,"Rs. 94,500",,,No Ratings,PandaeKade,Dell
Dell Latitude 7490 i7 8th Gen,"Rs. 94,999",,,No Ratings,iPoint Lanka (Pvt)Ltd,Dell
Dell Latitude 7410,"Rs. 95,000","Rs. 98,500",-4%,No Ratings,UR Enterprises,Dell
HP Elitebook 840 G6 I5 8th Generation,"Rs. 95,000",,,No Ratings,Smart Boutiques,HP
Lenovo Thinkpad T490s,"Rs. 95,000",,,No Ratings,ONESTORE SL,Lenovo
Lenovo Thinkpad T490s Core i5-8th Gen,"Rs. 95,000",,,No Ratings,ONESTORE SL,Lenovo
Macbook air (2015) 11inch,"Rs. 95,000",,,No Ratings,Hashan stores wewagama,Apple
DELL LATITUDE 5300 i7 8th Gen,"Rs. 95,000",,,No Ratings,ONESTORE SL,Dell
DELL Latitude 7480 – 14″ HD | Intel® Core™ i5 7th Gen | 16GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win10 Pro A Grade,"Rs. 95,000",,,No Ratings,Dealz_LK,Dell
DELL Latitude 7480 – 14″ HD | Intel® Core™ i5 7th Gen | 16GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win10 Pro,"Rs. 95,600",,,Ratings 1,Sanva Electronics,Dell
"Dell Latitude 3000 3310 13.3"" Touchscreen Convertible 2 in 1 Notebook - Full HD - 1920 x 1080 - Intel Core i3 8th Gen i3-8450U - 8 GB Total RAM - 256 GB SSD","Rs. 96,500","Rs. 125,000",-23%,No Ratings,Horizen Shopping,Dell
DELL Latitude 7490 – 14″ HD | Intel® Core™ i5 8th Gen | 8GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win10 Pro,"Rs. 96,500",,,No Ratings,Sanva Electronics,Dell
Lenovo ThinkPad Core i5 56h Gen | 8GB Ram | 256GB SSD | Intel® UHD Graphics,"Rs. 96,500",,,Ratings 1,Dealz_LK,Lenovo
HP Elitebook 840 G5/Core i5 8th Gen/16GB Ram/256GB SSD 14 inch Laptop,"Rs. 96,500","Rs. 175,000",-45%,Ratings 2,Sanva Electronics,HP
"Dell Latitude 5300 FHD Intel i5-8Gen 100% sRGB 8GB RAM, 256GB NVMe Imported Laptop","Rs. 96,900",,,No Ratings,OneMart_Technologies,Dell
Dell Latitude 5400 i7 8th Gen 8GB/16GB 256GB SSD Laptop,"Rs. 97,000",,,No Ratings,Computer HUB,Dell
[REFURBISHED] Lenovo Thinkpad T470s i7 7th Gen ultrabook,"Rs. 97,500",,,Ratings 2,AcePro Trading Pvt Ltd,Lenovo
HP ProBook 640 G3 i5 7th Gen 16GB 256GB SSD,"Rs. 97,750",,,No Ratings,AcePro Trading Pvt Ltd,HP
(REFURBISHED)Dell Latitude 5580 Core i7-7th Gen 8GB,"Rs. 98,000",,,No Ratings,ONESTORE SL,Dell
HP Probook 640 G4 Core i5-8th Gen Touch,"Rs. 98,000",,,No Ratings,ONESTORE SL,HP
Dell Latitude 5510 i5 10th Gen Laptop 16GB 256GB/512GB NVME SSD 15.6inch Laptop,"Rs. 104,500",,,Ratings 1,UB18 Computers Pvt Ltd,Dell
HP 840 G6 I5 8TH GEN TOUCH SCREEN USE LAPTOP,"Rs. 98,500",,,No Ratings,NEW WINTEC (PVT) LTD,HP
DELL Latitude 5410 – 14″ HD | Intel® Core™ i5 10th Gen | 8GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win10 / Win 11 Pro High Quality,"Rs. 99,000",,,No Ratings,Computer HUB,Dell
Lenovo V15 G2 IJL Intel Celeron N4500,"Rs. 99,000","Rs. 110,000",-10%,No Ratings,Thinex.lk,Lenovo
IdeaPad 1 15igL7 12th Gen Intel N4020 Laptop 4GB | 256NVME,"Rs. 99,500",,,No Ratings,Lapzotec PC,Lenovo
"Dell Latitude 5410 Laptop PC Intel Core i5-10210U 10th Gen Processor, 8GB Ram, 256GB NVMe SSD, Type C, HDMI, Webcam, Windows 10 Pro","Rs. 99,500","Rs. 140,000",-29%,No Ratings,Horizen Shopping,Dell
"REFURBISHED Dell Latitude 3410 10th GEN Slim Business model Laptop , Core i5 16GB RAM , 256 NVME 2 SSD HARD","Rs. 99,500","Rs. 139,500",-29%,No Ratings,iLAP LANKA (PVT) LTD,Dell
HP ProBook 640 G5 Notebook I5 8TH GEN 8GB RAM 256GB SSD LAPTOP,"Rs. 99,500",,,No Ratings,SUHADA COMPUTERS,HP
[REFURBISHED] Hp Zbook 17 G3 i7 6th Gen 16GB DDR4 Ram 256GB SSD and 500GB HDD AMD 4GB Graphic,"Rs. 99,500",,,Ratings 8,AcePro Trading Pvt Ltd,HP
Dell Latitude 5310 i7 V Pro 7th Gen Touch Screen Laptop,"Rs. 99,900",,,No Ratings,iPoint Lanka (Pvt)Ltd,Dell
Dell Latitude 7390 i7 8th Gen Touch Screen Laptop,"Rs. 99,900",,,No Ratings,iPoint Lanka (Pvt)Ltd,Dell
"LENOVO I5 6TH GEN - T560 ( 8GB RAM | 256GB SSD | 15.6"" Display )","Rs. 99,999","Rs. 120,000",-17%,No Ratings,CS CENTER 2.0,Lenovo
Dell Latitude 5400,"Rs. 100,000",,,Ratings 1,DR Technologies (Pvt) Ltd,Dell
Lenovo 15IGL05 IdeaPad 3,"Rs. 102,000",,,Ratings 6,Lenovo Sri Lanka,Lenovo
